PetID,AdoptionSpeed,resnet_prob_0,resnet_prob_1,resnet_prob_2,resnet_prob_3,resnet_prob_4
0f122f712,1,0.043661512,0.018294381,0.037684552,0.07713042,0.82322913
3b1976326,2,0.10405573,0.08592541,0.4766184,0.25168455,0.08171583
35907f15e,2,0.034823194,0.054748926,0.2088348,0.56028265,0.14131045
6e3aad5f3,3,0.19930097,0.22970906,0.19674608,0.20491315,0.16933064
915173d4d,4,0.17818952,0.1604248,0.24208525,0.2562828,0.16301763
81d97fa9f,3,0.059948534,0.28218383,0.44199085,0.1080372,0.10783957
fb3bd80d1,1,0.16395079,0.2819164,0.2679338,0.13417804,0.15202095
4d999ee22,4,0.044328395,0.30101278,0.30800068,0.0790625,0.26759562
0637293ec,1,0.19977759,0.25522846,0.22901818,0.22315837,0.09281736
7ead795bb,2,0.076254606,0.15294243,0.19610651,0.38283467,0.19186172
fcd21f3ec,2,0.081383996,0.03706321,0.18663013,0.2415999,0.4533227
76d5726c4,1,0.071338356,0.13852757,0.22303118,0.21388891,0.353214
86afe98e6,4,0.117454015,0.06251085,0.25060797,0.1621037,0.40732348
92b89a666,4,0.06463346,0.01825446,0.10192297,0.4395381,0.37565103
da327c74b,4,0.07417427,0.14880358,0.2552068,0.31582767,0.2059877
10a6c97d5,2,0.101048864,0.051391926,0.13432962,0.12774476,0.58548474
df39a5468,2,0.06679213,0.12070064,0.2968308,0.23515671,0.28051966
37f127385,2,0.17829908,0.28729165,0.25576434,0.116527066,0.1621179
20559d623,3,0.05176722,0.02187952,0.1759727,0.29374707,0.4566335
2e1d3ae52,4,0.121265374,0.30293208,0.20963009,0.27427834,0.091894165
3b0b2a86a,1,0.1427734,0.127572,0.26820675,0.30377337,0.15767443
184ea777b,3,0.077470005,0.06363181,0.159666,0.31264335,0.38658878
0636650db,1,0.3604468,0.13915133,0.20472561,0.28513688,0.0105393715
d8128cefd,4,0.08020948,0.0129967,0.062185705,0.20853065,0.6360775
dd7ad37e7,1,0.10497892,0.39090198,0.087179445,0.26263145,0.15430827
6c3a05812,3,0.4939442,0.02863891,0.29726088,0.14188063,0.03827532
1171c9a41,4,0.12965359,0.15053168,0.30985278,0.33096588,0.07899608
67dbd5ed9,1,0.032298904,0.5281957,0.32169926,0.066556804,0.05124936
a6e902691,4,0.04915692,0.11407372,0.23331529,0.21821833,0.38523576
a6423eca8,1,0.06611233,0.29469335,0.2173569,0.19272746,0.22910993
2cea63a41,1,0.06859678,0.4779467,0.40694985,0.01968404,0.02682258
27104e464,4,0.083665416,0.03803922,0.028882246,0.14002773,0.7093854
da8a47785,1,0.0683544,0.046818946,0.1935387,0.3586473,0.33264062
3e2cc2690,2,0.11586366,0.35624972,0.25616828,0.1684819,0.10323637
c5072890c,4,0.06441244,0.17286918,0.31963232,0.25592107,0.18716502
cdb855a69,3,0.08341766,0.07463649,0.45736024,0.22499359,0.15959196
6f93a41c5,4,0.053142596,0.012447655,0.04322968,0.16365576,0.72752434
dc56ff89a,1,0.08146936,0.13021548,0.29453072,0.37957242,0.11421203
2b3ec0f96,3,0.07940145,0.09500327,0.30056655,0.28139955,0.24362916
a9bfec3ba,4,0.0868213,0.070903316,0.26365,0.15768658,0.4209388
bb4c6519d,4,0.28327397,0.050368387,0.12660293,0.5157054,0.024049303
700a93465,2,0.06642379,0.04195437,0.060716256,0.6423274,0.1885781
e0238b8c2,4,0.10840596,0.082904935,0.18913999,0.2460624,0.37348676
6e3457b81,3,0.111411184,0.11030996,0.24747843,0.3554057,0.17539477
06f523361,1,0.15569231,0.13336264,0.25568,0.37558094,0.07968407
8dfe4da6a,4,0.073781386,0.033756405,0.09951866,0.12869094,0.6642526
782eb0d9d,3,0.28586096,0.057032898,0.39726642,0.19510691,0.064732835
157e3e074,2,0.41511723,0.16708905,0.1867657,0.18467999,0.046348
eb8aeff64,3,0.25751662,0.083323225,0.32343715,0.23904867,0.09667434
e9e06e3f6,2,0.13818653,0.2446945,0.2380071,0.2086149,0.17049704
b5aa169b4,4,0.06955628,0.08248236,0.13051757,0.30115175,0.41629207
445c703ff,2,0.12439482,0.26458037,0.23961638,0.2340621,0.1373463
b9d6b1488,2,0.12231359,0.083548196,0.3160783,0.3601805,0.11787938
1ffb40e20,1,0.07614666,0.09931395,0.27374643,0.28016973,0.27062324
c0fe34d97,3,0.07859447,0.18920973,0.31532973,0.2804462,0.1364199
f91147e5f,4,0.14854847,0.1756509,0.22942543,0.19187358,0.25450167
0e4049f6d,2,0.09683967,0.09723649,0.34055763,0.35415992,0.11120624
daf1a8d08,4,0.09804299,0.10402279,0.18512687,0.20153984,0.41126752
30908fb77,1,0.046514787,0.30066037,0.23894775,0.18233746,0.23153955
beb3a6da0,1,0.0729305,0.3395404,0.30328646,0.18540664,0.09883601
24d9b76ae,4,0.1070971,0.22088389,0.2547764,0.2246254,0.19261721
c8fc0d746,2,0.053584807,0.112172194,0.17008442,0.14471927,0.5194393
fbaec0999,1,0.22858298,0.10535364,0.12330877,0.22070895,0.32204562
f253bd6aa,2,0.072487466,0.47951213,0.27643836,0.1055485,0.06601348
21493e6ea,4,0.08186818,0.051726665,0.25942335,0.14174937,0.46523243
3304185a1,4,0.07278779,0.039903898,0.21112041,0.18910854,0.48707938
8b63e1b21,2,0.06512663,0.04779679,0.17423257,0.3133298,0.39951426
d9033fea0,3,0.046177164,0.09881767,0.30770475,0.3943009,0.15299948
80f8877f8,2,0.18363312,0.22130114,0.27635667,0.21609554,0.102613516
58fe1756c,2,0.032424152,0.08968182,0.102385476,0.7340172,0.041491374
71c3f9254,1,0.17180718,0.21554872,0.29696718,0.17492998,0.14074689
76e071fcb,2,0.06941139,0.1105676,0.28351855,0.2540203,0.28248218
71ad8e81d,3,0.0723954,0.22259463,0.26874086,0.31161803,0.12465108
5bda8f113,3,0.057291266,0.12752897,0.42425957,0.19361876,0.19730143
943e9242f,1,0.18481277,0.2831679,0.26225767,0.21758328,0.05217839
ae524a36a,2,0.07288298,0.031110233,0.11394941,0.3071486,0.47490877
a0ece637e,4,0.2,0.2,0.2,0.2,0.2
c9646e275,3,0.06439234,0.20139205,0.17330906,0.44169667,0.11920984
7d2fe6bb6,4,0.11432287,0.113877185,0.24237631,0.2179022,0.31152144
6f85ce1a9,3,0.092760585,0.08034948,0.27144855,0.23723897,0.31820244
9c263fbc4,4,0.08594575,0.04351798,0.14111368,0.49223462,0.23718797
a0cc9df12,2,0.12834047,0.1631351,0.29740015,0.25429234,0.15683201
e825b8b9f,4,0.06659278,0.0068550077,0.05041147,0.191439,0.68470174
4137d96a2,2,0.101104885,0.10857569,0.3289036,0.25039488,0.21102099
59d4947b6,4,0.2,0.2,0.2,0.2,0.2
99ba1c605,4,0.21143594,0.15099737,0.24556208,0.22864118,0.16336344
d83aa1f02,0,0.095513105,0.08001985,0.27750042,0.23551632,0.31145033
53bcfd67d,1,0.13071232,0.28005752,0.2348354,0.16872755,0.18566719
855de7c89,3,0.078555316,0.17266002,0.14832757,0.25283787,0.34761924
137916924,4,0.07643817,0.085023485,0.21239653,0.29459554,0.33154628
f0885aa00,2,0.09407457,0.26996356,0.23664784,0.21753173,0.18178228
c7901e98d,4,0.13486502,0.08725628,0.2773281,0.21727468,0.28327587
5afe2ebbc,4,0.20993924,0.28922284,0.14616759,0.20873281,0.1459375
747359fcb,3,0.1104898,0.27544236,0.31980944,0.13474678,0.15951163
f62e604d6,3,0.090167195,0.093196124,0.20079495,0.15223551,0.46360624
4a8caef08,4,0.059761435,0.096695,0.16565241,0.34651595,0.33137515
dfa8ac290,4,0.14787616,0.14230809,0.15856569,0.31856325,0.23268686
a22c43e29,4,0.109573685,0.0989654,0.16329254,0.13826072,0.48990762
d8fceeb86,2,0.09230073,0.09767959,0.10878339,0.26089412,0.44034216
bd5ac00df,2,0.10942786,0.14240474,0.105004765,0.36249816,0.28066447
2db6c996b,3,0.08504379,0.101585485,0.3690528,0.21286257,0.23145534
e79f310db,2,0.10390427,0.1746466,0.2002807,0.36482733,0.15634109
f7af4ce3d,2,0.06298692,0.07356728,0.12363139,0.5981871,0.14162734
102482c40,4,0.041827578,0.031266283,0.07893515,0.5501638,0.29780728
c6556750a,3,0.08170745,0.041024935,0.25975025,0.5021507,0.11536668
303ecdb58,3,0.092897184,0.044657513,0.11494854,0.60692036,0.1405764
4463deb9a,3,0.10862379,0.28803378,0.30094394,0.18923913,0.113159396
f195c540d,4,0.05364396,0.10966524,0.31175578,0.45993593,0.06499909
d33c9174f,3,0.08452928,0.2537634,0.29723528,0.2101099,0.15436214
3e4f81782,2,0.1661522,0.07813106,0.17512654,0.3992845,0.18130568
4e00cd0ac,4,0.06971235,0.025189647,0.11065121,0.29457676,0.49987003
b5033c917,4,0.08982113,0.17609754,0.2803402,0.2310242,0.22271687
f3b4e3f5c,4,0.14402892,0.12950656,0.25946367,0.29068902,0.1763118
dd8817ccb,2,0.12842129,0.2727623,0.30133578,0.23077619,0.066704445
8415aff49,2,0.10783293,0.33461767,0.19346496,0.27799678,0.08608765
c135c6b15,4,0.06546437,0.009863935,0.05726803,0.41478172,0.45262188
133cc5f19,3,0.08829528,0.060632564,0.23339508,0.22223869,0.39543837
4298e4c15,1,0.072380275,0.07144321,0.30762422,0.45135584,0.097196385
7a54b760e,2,0.031112429,0.06720236,0.060791995,0.085388415,0.75550485
7be394a98,2,0.04699386,0.059087582,0.140118,0.38398474,0.36981583
3613869b2,2,0.04554322,0.039626643,0.21120757,0.22071406,0.48290843
05935bf08,4,0.13421676,0.23093703,0.24012549,0.29124212,0.1034786
fb0180584,1,0.058781058,0.09726913,0.12243549,0.55892587,0.16258848
281e2d7e8,3,0.033243813,0.027185855,0.29774922,0.5535592,0.088261954
b2a23ac85,4,0.07176474,0.110862315,0.19555362,0.22305962,0.39875972
99558ec92,2,0.058314633,0.064537905,0.162212,0.36468127,0.3502542
056cc22d2,4,0.09799387,0.059262417,0.497411,0.22812088,0.11721175
204a3b926,4,0.07619635,0.05420471,0.15209977,0.13408518,0.58341396
640e18ef0,3,0.03406417,0.07887354,0.33606634,0.5230575,0.02793845
ab8386c6d,4,0.057085413,0.092342615,0.2569031,0.24669965,0.34696925
4f5f178e6,1,0.15110998,0.35287625,0.20963731,0.21488641,0.07149008
9c580ca06,4,0.08267453,0.1959077,0.17297238,0.17683668,0.37160867
515462e67,2,0.18546633,0.08998591,0.3085096,0.2310818,0.18495639
35f9818a7,4,0.113426864,0.12686518,0.22713293,0.33491257,0.19766243
e80386a28,3,0.4051501,0.2737203,0.18177447,0.09642265,0.04293248
1b932e373,1,0.08005108,0.26973033,0.26621237,0.31369162,0.07031467
59e24567e,4,0.0855577,0.041333634,0.1297999,0.20292047,0.54038835
050277142,2,0.11014019,0.081749395,0.20424244,0.19289544,0.4109726
69262e404,2,0.07780324,0.04489733,0.14489499,0.104084045,0.62832046
151d50f53,2,0.06374854,0.07004912,0.23551682,0.3878468,0.24283871
b82317efb,1,0.12634757,0.14695093,0.34380487,0.16476065,0.21813588
88ac92eed,2,0.047414567,0.0690386,0.27179655,0.52415746,0.087592825
3a0e3b527,2,0.07850963,0.4104832,0.22758023,0.13672477,0.14670216
04e7d89c0,3,0.12779965,0.54001415,0.16147009,0.14124562,0.02947057
ba58bb1a4,4,0.098127514,0.27497876,0.2940474,0.2102841,0.12256223
85b57bb1e,4,0.033549286,0.009958395,0.01933642,0.03634191,0.900814
f03979157,0,0.0629816,0.4970848,0.18253274,0.12682317,0.13057773
97db95d21,4,0.1459849,0.15412493,0.23598123,0.23530811,0.22860084
e42dc215d,0,0.09051358,0.39853674,0.1618906,0.338895,0.010164024
cb5597fb1,1,0.09404826,0.30718893,0.24547729,0.16932774,0.18395783
1a3a45096,2,0.0746456,0.19709757,0.25584278,0.289095,0.18331897
90a967a14,4,0.10294276,0.14633973,0.29877058,0.31192625,0.14002068
e93afb8ff,4,0.12518509,0.1154256,0.23769327,0.25574997,0.26594603
67e7da152,3,0.049070638,0.053330738,0.27163047,0.6109343,0.015033811
6f2721c52,4,0.12643649,0.27610973,0.31511277,0.20570399,0.07663702
86d203b94,3,0.09957114,0.05893877,0.30949634,0.4572757,0.074718095
b1da9f428,4,0.18669705,0.21923226,0.15731065,0.22338913,0.2133709
69c8c9463,3,0.10707704,0.052319124,0.08278314,0.19313556,0.5646851
aefafcc66,4,0.060848273,0.01880487,0.048071522,0.1671789,0.7050965
e99c4a55d,1,0.04898531,0.15354237,0.28829423,0.4776433,0.031534772
24afd5f54,2,0.030665537,0.2717222,0.17012241,0.46629533,0.061194506
abe8790ba,2,0.11212234,0.36878118,0.27777237,0.17395885,0.0673653
5419155f2,2,0.06548811,0.25112092,0.319757,0.19684044,0.16679361
e152df77a,1,0.083828904,0.48360136,0.21614492,0.09293596,0.12348891
46b603304,2,0.160333,0.34982917,0.15731825,0.13976528,0.1927543
066521b34,3,0.13829617,0.1284154,0.28505427,0.2878824,0.16035172
1d6944a82,1,0.07314332,0.2930639,0.28553843,0.24020831,0.10804604
492fe3371,2,0.087852806,0.45022932,0.21654494,0.16996202,0.07541097
3de6bc035,1,0.06990013,0.09811879,0.35663265,0.23821467,0.23713374
235572f38,1,0.14563236,0.25031275,0.20899104,0.3086426,0.08642135
0f796d3f9,1,0.180969,0.21889399,0.3047354,0.20068152,0.09472006
b2056e185,4,0.06617852,0.08105641,0.14722505,0.19476198,0.51077807
400e57095,3,0.09397032,0.04495007,0.18160631,0.23235741,0.4471159
d6a2a2e37,4,0.2,0.2,0.2,0.2,0.2
c9a00b80f,2,0.087271884,0.3713966,0.24026047,0.18236196,0.11870912
8e77a97ac,2,0.19765842,0.31993178,0.34762195,0.083093226,0.051694628
ee590e762,1,0.10355482,0.122076996,0.38119987,0.2846703,0.10849802
5980b0699,2,0.1494876,0.24322432,0.33817855,0.20020173,0.06890776
2c007007f,1,0.2699672,0.10906772,0.16142794,0.23531632,0.22422084
e8ec1a562,1,0.08467613,0.13704084,0.26713645,0.12661836,0.38452828
ff10041de,3,0.1671113,0.15356818,0.31882745,0.19489457,0.16559851
a7eb03730,2,0.06924683,0.02558551,0.06917607,0.16114381,0.6748478
25c1c662b,1,0.11355599,0.29757756,0.31018808,0.08267466,0.19600368
5df70cb5a,2,0.136866,0.20906909,0.27576306,0.24034555,0.1379563
62e2e9071,4,0.09576687,0.06640329,0.20709918,0.32639658,0.3043341
6eb8a8e8e,4,0.2,0.2,0.2,0.2,0.2
a9bcc4196,1,0.13169038,0.18139641,0.33088103,0.2074058,0.14862636
b16afc5dc,2,0.1512124,0.32402846,0.38291904,0.0973492,0.044490896
5685ae208,4,0.11384481,0.052749224,0.14243215,0.53745127,0.15352254
c5f20f40f,2,0.1484793,0.12930535,0.24847703,0.34959704,0.12414128
28ec2de89,2,0.22607225,0.098604634,0.45283705,0.12037444,0.10211166
d50b449f0,1,0.05840134,0.49790293,0.3547942,0.05741175,0.03148978
85094deda,4,0.07115055,0.04263486,0.109681204,0.34537542,0.43115795
61dc8345a,4,0.054132126,0.34400174,0.31499627,0.15238363,0.13448627
125522846,1,0.06664774,0.23805277,0.3389475,0.30718696,0.049164966
9ebf6e448,1,0.1973855,0.2892083,0.22842678,0.17730276,0.10767667
db03ddc32,4,0.07452425,0.10354013,0.11243098,0.23726983,0.4722348
5bc5b43ae,4,0.12038884,0.15936004,0.35159436,0.21936125,0.14929557
f5257c5e4,3,0.16336963,0.2900316,0.2648839,0.22314996,0.05856495
ae38b9254,3,0.05919202,0.26736084,0.19846757,0.3031075,0.17187208
cf49e1549,4,0.084594265,0.14180139,0.19498827,0.42570728,0.15290877
f77452d59,2,0.077246755,0.24085903,0.25247973,0.16989356,0.25952098
33ddc2011,4,0.11002212,0.041232888,0.1263953,0.1269946,0.5953551
1f949d065,3,0.09267567,0.09011208,0.21878253,0.28847376,0.30995595
2430b50b4,3,0.119972244,0.05809274,0.12670772,0.19850224,0.49672508
f90f6ca1a,2,0.21844932,0.36192492,0.3181524,0.0671786,0.03429472
4544aecf7,4,0.11781471,0.24990137,0.12664385,0.15511046,0.35052964
16472756f,1,0.14629751,0.2315674,0.24346313,0.23975809,0.13891387
de35c9f48,4,0.07537055,0.097838834,0.16739897,0.2166414,0.44275025
66f6cd1cb,4,0.12899469,0.09433134,0.37534887,0.14940982,0.25191528
51c99e8fb,4,0.07657876,0.047132757,0.23432943,0.2017089,0.4402502
2f0e90bdd,3,0.13056745,0.23367289,0.31804794,0.25511786,0.06259377
f024e91b9,3,0.096387245,0.09999774,0.18066268,0.19724338,0.42570898
19e701fea,2,0.084796764,0.15143624,0.30111545,0.2546394,0.2080121
c842fa148,1,0.10288162,0.19951142,0.20744638,0.14490934,0.34525123
04e829d49,4,0.078303546,0.02856117,0.11488765,0.23670013,0.54154754
37fb97f8b,2,0.10317449,0.042369872,0.08626078,0.35408083,0.41411406
5a7207717,2,0.097047456,0.13650845,0.22174977,0.2880539,0.25664037
1ca9db40b,4,0.055911675,0.141181,0.33554813,0.23735903,0.23000014
7f51a7e88,4,0.07989642,0.13092406,0.29191616,0.3987749,0.09848846
c4e0d125b,4,0.05584945,0.019338787,0.052184656,0.21253046,0.6600966
ea7ec0562,4,0.066166915,0.14679323,0.28617316,0.3300474,0.17081924
2c1c1b557,4,0.07333795,0.030547561,0.03996818,0.06735211,0.7887942
d473d632a,2,0.061804134,0.22664115,0.56561786,0.09328339,0.052653484
733f9942b,3,0.08671746,0.098341756,0.17048547,0.32993573,0.31451958
6ea58b8ac,4,0.057218395,0.12176883,0.200145,0.24803014,0.37283763
bedd7f1e7,4,0.14554447,0.042550717,0.14227018,0.23124038,0.4383942
b551658f4,2,0.05628427,0.048047088,0.1678766,0.62366104,0.104130976
b2c120250,2,0.09610894,0.061929625,0.3385384,0.31587288,0.18755013
390689a38,0,0.08366886,0.54505694,0.24724081,0.093819134,0.030214204
19caeb6b5,3,0.065110095,0.032856848,0.1090655,0.42526272,0.36770487
d919bd302,4,0.053822506,0.08183943,0.09979401,0.2268953,0.53764874
e2b5913e7,4,0.08932279,0.05607446,0.088732325,0.19500366,0.57086676
6a8ce175d,3,0.07751037,0.11500478,0.22511002,0.24267137,0.33970344
e19ee42ce,1,0.16043723,0.14133066,0.4254394,0.11898601,0.15380675
72b0f5c4d,2,0.12004487,0.17055571,0.1767016,0.2522189,0.2804789
3625dd7cf,4,0.18244684,0.64801884,0.07197369,0.07393587,0.023624681
dcf2641f2,3,0.07821675,0.086815916,0.37644613,0.36942232,0.08909889
10a3c8b71,2,0.09001244,0.34693947,0.24437074,0.19550437,0.12317298
6da65afb8,3,0.066774815,0.015731482,0.08925463,0.7223215,0.1059176
54224dada,4,0.09053307,0.019998241,0.06203659,0.19473611,0.632696
25b3328fd,4,0.08804158,0.11379526,0.3410908,0.34418678,0.11288559
9668972cc,3,0.10706726,0.09384281,0.21024255,0.37443203,0.21441537
b8dd18a5a,4,0.07479411,0.13543466,0.40400428,0.28192568,0.10384135
ce2004c9e,4,0.13233428,0.24195492,0.20738691,0.22339346,0.19493051
8a99dadaf,3,0.0714478,0.102166556,0.29623097,0.40789178,0.1222629
a1c1dbf8a,1,0.18185392,0.24289823,0.1920975,0.10558676,0.2775636
c924a03e8,4,0.0574926,0.020008307,0.05921598,0.2048039,0.6584792
c1a3e3aa1,1,0.1596176,0.22236584,0.21894512,0.26721132,0.13186003
dcdefed1a,3,0.044062477,0.09929632,0.31772763,0.48732382,0.051589772
894da0f10,3,0.12142491,0.25069007,0.29192197,0.18082568,0.15513745
fd9375e71,2,0.0696094,0.051738784,0.16014673,0.6606641,0.057841048
7e29d5a9d,4,0.077691875,0.37209788,0.17422852,0.1656423,0.21033941
24ee3b57d,2,0.057804447,0.21516976,0.3200839,0.30457917,0.10236274
943bcd4db,4,0.10974864,0.036014978,0.22597164,0.543111,0.08515366
c06b6d8bf,4,0.07255882,0.03738657,0.13058358,0.29092613,0.46854487
881d46cc0,2,0.11544613,0.15191169,0.39191824,0.20782463,0.1328993
1a085d132,2,0.06450936,0.09865363,0.30224684,0.2813126,0.25327763
1a3da2ae5,4,0.12371376,0.15994771,0.19877487,0.26773128,0.24983239
196504d88,2,0.19056745,0.36444676,0.27316812,0.11900555,0.052812073
fc9773fa5,2,0.092283495,0.22621182,0.42380753,0.18952689,0.068170294
31da37bc0,4,0.112104975,0.06786066,0.124611236,0.25908646,0.4363366
65b46ef09,1,0.16961722,0.12271906,0.23110722,0.19731864,0.2792379
9fce612cf,3,0.053237475,0.33900627,0.28134608,0.22641914,0.09999101
f96ccddd5,1,0.12385362,0.15128624,0.22834457,0.2649005,0.2316151
c87b301c0,2,0.11897313,0.28339043,0.26803675,0.21994214,0.109657526
25dc712af,4,0.13442276,0.16895571,0.31127656,0.20574924,0.17959574
ae0076e01,1,0.07331206,0.064847894,0.27806506,0.26034647,0.3234285
670535e94,2,0.2316023,0.3106674,0.23697162,0.1658423,0.054916438
b0b33bec3,3,0.113230556,0.20623685,0.25746873,0.26990452,0.15315937
ee7c25387,4,0.106892526,0.14318995,0.23921578,0.35744348,0.15325826
c7ef9e0bf,2,0.14125071,0.30747348,0.2070981,0.22432171,0.119855985
e8b34f964,3,0.18009716,0.17416771,0.18917878,0.24216609,0.21439019
0e73648e8,2,0.06349095,0.22383457,0.24595423,0.39543995,0.0712803
68f3cfdcb,2,0.10914044,0.14961728,0.26852655,0.19189852,0.2808172
9012ebabb,4,0.048278794,0.15285486,0.2609927,0.49118295,0.04669071
eb939ea9e,2,0.10499004,0.074423194,0.12707187,0.23361543,0.45989943
123f15578,4,0.11447875,0.2127548,0.31148958,0.09588439,0.26539245
da6950564,4,0.15567178,0.08520795,0.16805542,0.1241169,0.46694797
3cfec8730,3,0.07097688,0.11182992,0.3382028,0.27391255,0.2050778
b62618f55,1,0.07954508,0.12512287,0.10822207,0.32238227,0.3647277
e42fd0fed,1,0.102777116,0.11757351,0.2776068,0.4319865,0.07005606
f8213a645,1,0.07097087,0.3544857,0.19704828,0.28586483,0.09163037
62887c0ea,3,0.09537265,0.057463832,0.11501362,0.33082098,0.40132895
0ffe99b25,2,0.11543921,0.3024891,0.23363946,0.18251854,0.16591369
